Q1_Age,Q2_Gender,Q3_Residential_Status,Q4_Emirate,Q5_Employment_Status,Q6_Monthly_Income_AED,Q7_Education_Level,Q8_Marital_Status,Q9_Household_Size,Q10_Have_Children,Q11_Play_Video_Games,Q12_Gaming_Platforms,Q13_Game_Types_Preferred,Q14_Gaming_Frequency,Q15_Hours_Per_Week,Q16_Primary_Gaming_Location,Q17_Gaming_Cafe_Visits_Past_12mo,Q18_Typical_Spend_Per_Visit_AED,Q19_Gaming_Companions,Q20_Gaming_Motivations,Q21_Social_Aspect_Importance,Q22_Leisure_Activity_Frequency,Q23_Leisure_Venues_Visited,Q24_Preferred_Visit_Time,Q25_Preferred_Visit_Duration,Q26_Food_Quality_Importance,Q27_Food_Service_Preference,Q28_Italian_Food_Preferences,Q29_Chinese_Food_Preferences,Q30_Beverage_Preferences,Q31_Snack_Preferences,Q32_FB_Spending_Per_Session_AED,Q33_Pricing_Model_Preference,Q34_WTP_Standard_Setup_AED_Per_Hour,Q35_WTP_Premium_Setup_AED_Per_Hour,Q36_Monthly_Membership_WTP_AED,Q37_Total_WTP_Per_Visit_AED,Q38_Price_Sensitivity,Q39_WTP_Premium_For_Fusion,Q40_Feature_Importance_Top5,Q41_Private_Room_Interest,Q42_Special_Services_Interest,Q43_Loyalty_Program_Interest,Q44_Location_Factors_Top3,Q45_Interest_In_Concept,Q46_Primary_Reason_For_Interest,Q47_Expected_Visit_Frequency,Q48_Would_Recommend,Q49_Biggest_Attraction,Q50_Concerns_Hesitations,Q51_Competitive_Advantage,Q52_Additional_Suggestions
18-24,Male,Expat (Student),Ajman,Student,"10,001 - 20,000",High school or below,Single,1 (Live alone),No,"Yes, occasionally (few times a month)",Tablet gaming; PC/Laptop,"VR games; Casual/Party games (Mario Kart, Fall Guys, Among Us); RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Strategy games (League of Legends, Dota 2, StarCraft)",2-3 times per month,Less than 2 hours,Multiple locations,2-5 times,101-150,Romantic partner; Strangers/Online community,Story and narrative; Social interaction; Escapism/Immersion,Moderately important,Rarely (few times a year),Restaurants; Sports/Fitness centers; Gaming cafes/lounges,Evening (5 PM - 9 PM); Morning (8 AM - 12 PM); Late night (9 PM - 2 AM),2-3 hours,Moderately important,Mix of quick bites and proper meals,Bruschetta; Pasta Carbonara; Pasta Bolognese; Pasta Alfredo,Noodle Soup; Chow Mein; Manchurian (Chicken/Vegetable); Orange Chicken,Smoothies; Bubble tea; Milkshakes; Fresh juices,Nachos with dips; Nuts/Trail mix; Chips/Crisps; Pretzels,51-75 AED,Monthly membership (unlimited access),15-25 AED,61-75 AED,Less than 300 AED,151-200 AED,Neutral - I balance price with experience quality,Probably yes,Strategic location and accessibility; Comfortable seating and ergonomic setup; Clean and well-maintained environment; Streaming/Content creation facilities; Knowledgeable and helpful staff,"Yes, occasionally for special occasions","Tournament participation (cash prizes, trophies); Streaming setup for content creators; Gaming leagues and ladders; Ladies-only sessions",Very likely,Surrounded by other F&B options; In a mall or entertainment complex; Close to my home/workplace,Moderately interested - I would try it out and visit occasionally,Location and convenience matter most,2-3 times per month,Definitely yes,High-end gaming equipment,Might be too crowded/noisy,Convenient location,None
45-54,Male,UAE National,Abu Dhabi,Full-time employed,"Above 50,000",Master's degree,Married with children,3-4,"Yes, multiple age groups","Yes, regularly (at least once a week)",PC/Laptop; Xbox (One/Series X/S); PlayStation (PS4/PS5),"Battle Royale (Fortnite, PUBG, Apex Legends); Sports games (FIFA, NBA 2K, F1); First-person shooters (Call of Duty, Valorant, CS:GO); Board games (physical or digital)",Daily,16-20 hours,Multiple locations,6-10 times,101-150,Friends (online); Romantic partner,Entertainment/Fun; Escapism/Immersion; Story and narrative,Moderately important,Once a week,Cinemas; Restaurants; Board game cafes,Late night (9 PM - 2 AM); Morning (8 AM - 12 PM),4+ hours,Moderately important,Self-service/Grab-and-go options,Lasagna; Caprese Salad; Tiramisu; Pepperoni Pizza; Margherita Pizza; Vegetarian Pizza,Dim Sum; Chow Mein; Kung Pao Chicken; General Tso's Chicken; Spring Rolls,"Coffee (Hot/Iced); Soft drinks (Coca-Cola, Pepsi, Sprite); Water; Tea (Regular/Specialty); Sports drinks (Gatorade, Powerade); Milkshakes",Chicken wings/tenders; Burgers/Sliders; French fries; Cookies/Brownies; Pretzels; Nuts/Trail mix,101-150 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",46-55 AED,76-90 AED,901-1200 AED,301-400 AED,Neutral - I balance price with experience quality,Definitely yes,"Fast and stable internet connection; Affordable pricing; Quality food and beverage options; Comfortable seating and ergonomic setup; High-end gaming hardware (latest GPUs, processors)","Yes, occasionally for special occasions","Gaming leagues and ladders; Kids gaming hours; Board game library; Retro arcade section; Tournament participation (cash prizes, trophies)",Somewhat likely,Close to my home/workplace; Safe neighborhood; Ample parking availability,Very interested - I would likely visit frequently,The multi-generational concept appeals to me,Once a week,Definitely yes,Social environment and community,Concerns about cleanliness/hygiene; Location might not be convenient; Pricing might be too high,Better pricing and value,More vegetarian food options
35-44,Male,UAE National,Dubai,Full-time employed,"20,001 - 35,000",Bachelor's degree,Married with children,More than 6,"Yes, multiple age groups","Yes, rarely (few times a year)",PlayStation (PS4/PS5),"RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Casual/Party games (Mario Kart, Fall Guys, Among Us)",Once a month or less,2-5 hours,At home,Never,Haven't visited,Family members,Stress relief/Relaxation; Escapism/Immersion; Story and narrative,Very important,2-3 times per month,"Gaming cafes/lounges; Sports/Fitness centers; Regular cafes (Starbucks, Costa, local cafes)",Late night (9 PM - 2 AM); Weekends any time; Afternoon (12 PM - 5 PM),1-2 hours,Slightly important,Mix of quick bites and proper meals,"Pasta Arrabiata; Italian Coffee (Espresso, Cappuccino); Gelato",Dim Sum; Stir-fried Vegetables,"Fresh juices; Sports drinks (Gatorade, Powerade); Milkshakes; Coffee (Hot/Iced)",Chips/Crisps; Pretzels; Chicken wings/tenders,1-25 AED,"All-day pass (e.g., 150 AED unlimited gaming)",36-45 AED,46-60 AED,Not interested in membership,201-300 AED,Somewhat price sensitive - I consider price but not the only factor,Probably not,"Quality food and beverage options; Knowledgeable and helpful staff; Strategic location and accessibility; High-end gaming hardware (latest GPUs, processors); Fast and stable internet connection","Yes, occasionally for special occasions","VR gaming experiences; Tournament participation (cash prizes, trophies)",Not very likely,Surrounded by other F&B options; Near public transportation; Ample parking availability,Slightly interested - I might visit once to check it out,Combination of high-end gaming and quality food is unique,Once every few months,Probably not,High-end gaming equipment,Not enough variety in games; Prefer gaming at home; Pricing might be too high,Better than gaming at home because of social aspect,None
25-34,Male,Expat (Working Professional),Dubai,Full-time employed,"35,001 - 50,000",Bachelor's degree,Prefer not to say,1 (Live alone),No,"Yes, occasionally (few times a month)",PlayStation (PS4/PS5); PC/Laptop; Mobile gaming,"Battle Royale (Fortnite, PUBG, Apex Legends); Retro/Classic arcade games",2-3 times per month,2-5 hours,Multiple locations,2-5 times,151-200,Romantic partner; Family members,Social interaction; Story and narrative; Stress relief/Relaxation,Very important,Once a month,"Regular cafes (Starbucks, Costa, local cafes); Sports/Fitness centers",Late night (9 PM - 2 AM); Weekends any time,1-2 hours,Very important,Mix of quick bites and proper meals,"Italian Coffee (Espresso, Cappuccino); Caprese Salad; Pepperoni Pizza; Pasta Carbonara; Margherita Pizza; Pasta Alfredo",Manchurian (Chicken/Vegetable); Chow Mein; Peking Duck; Hot and Sour Soup; Hakka Noodles; Orange Chicken,"Energy drinks (Red Bull, Monster); Water",Candy/Chocolate; Burgers/Sliders; Sandwiches/Wraps,76-100 AED,Monthly membership (unlimited access),26-35 AED,91-110 AED,Not interested in membership,301-400 AED,Neutral - I balance price with experience quality,Probably yes,Affordable pricing; Tournament hosting and events; Comfortable seating and ergonomic setup; Quality food and beverage options; Social atmosphere and community,"Yes, occasionally for special occasions",Board game library; Kids gaming hours,Very likely,In a mall or entertainment complex; Safe neighborhood; Close to my home/workplace,Extremely interested - I would definitely visit regularly,Location and convenience matter most,Once a week,Definitely yes,Quality food and dining experience,No major concerns,Better than gaming at home because of social aspect,None
18-24,Male,Expat (Working Professional),Dubai,Self-employed/Entrepreneur,"35,001 - 50,000",Bachelor's degree,Single,3-4,No,"Yes, regularly (at least once a week)",Mobile gaming; Nintendo Switch; PC/Laptop,"Racing games (Gran Turismo, Forza); Simulation games (The Sims, Cities Skylines); Sports games (FIFA, NBA 2K, F1); Strategy games (League of Legends, Dota 2, StarCraft)",Daily,More than 20 hours,Gaming cafe/lounge,6-10 times,151-200,Romantic partner; Alone,Skill improvement; Escapism/Immersion; Stress relief/Relaxation,Slightly important,Multiple times per week,Restaurants; Shisha cafes; Gaming cafes/lounges; Board game cafes; Cinemas; Bowling alleys/Entertainment centers,Late night (9 PM - 2 AM); Morning (8 AM - 12 PM); Weekends any time,3-4 hours,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,Panna Cotta; Tiramisu; Pepperoni Pizza; Pasta Arrabiata; Margherita Pizza; Pasta Bolognese; Bruschetta; Gelato,Szechuan dishes (Spicy); Orange Chicken; Peking Duck; Kung Pao Chicken; Hakka Noodles; Stir-fried Vegetables; Hot and Sour Soup; Spring Rolls,"Energy drinks (Red Bull, Monster); Fresh juices; Water; Soft drinks (Coca-Cola, Pepsi, Sprite); Sports drinks (Gatorade, Powerade)",Sandwiches/Wraps; Fresh fruit; Burgers/Sliders; Nuts/Trail mix; Candy/Chocolate; Popcorn,76-100 AED,Monthly membership (unlimited access),26-35 AED,91-110 AED,901-1200 AED,151-200 AED,Neutral - I balance price with experience quality,Probably not,"Fast and stable internet connection; Clean and well-maintained environment; High-end gaming hardware (latest GPUs, processors); Affordable pricing; Quality food and beverage options","Maybe, depends on pricing","Streaming setup for content creators; Gaming leagues and ladders; Corporate team-building events; Tournament participation (cash prizes, trophies)",Very likely,Ample parking availability; Close to my home/workplace; In a mall or entertainment complex,Extremely interested - I would definitely visit regularly,Love the social-first approach,Once a week,Definitely yes,Combination of everything,No major concerns,Better than gaming at home because of social aspect,Offer student discounts
18-24,Male,Expat (Student),Abu Dhabi,Student,"10,001 - 20,000",High school or below,Single,2,No,"No, and not interested",None,None,Once a month or less,Less than 2 hours,Multiple locations,2-5 times,51-100,None,None,Slightly important,2-3 times per month,Sports/Fitness centers; Shisha cafes; Libraries/Co-working spaces,Would not visit,1-2 hours,Slightly important,Quick-service counter with delivery to gaming stations,Pasta Arrabiata; Margherita Pizza; Pasta Carbonara; Lasagna; Tiramisu,Peking Duck; Orange Chicken; Hot and Sour Soup; Dim Sum,"Energy drinks (Red Bull, Monster); Specialty coffee drinks (Frappuccino, Latte); Smoothies",Sandwiches/Wraps; Chicken wings/tenders; Fresh fruit,26-50 AED,Package deals (gaming hours + F&B combo),36-45 AED,30-45 AED,Not interested in membership,151-200 AED,Very price sensitive - I look for best deals and discounts,Definitely not,"Strategic location and accessibility; Fast and stable internet connection; Knowledgeable and helpful staff; High-end gaming hardware (latest GPUs, processors); Tournament hosting and events","Maybe, depends on pricing",None of these,Somewhat likely,In a mall or entertainment complex; Ample parking availability; Close to my home/workplace,Not interested - This doesn't appeal to me,Not interested in gaming cafes generally,Probably wouldn't visit,Probably not,High-end gaming equipment,Limited operating hours; Might be too crowded/noisy; Not enough variety in games; Pricing might be too high,More comfortable and clean environment,Host regular tournaments
18-24,Male,Expat (Working Professional),Abu Dhabi,Full-time employed,"Above 50,000",Diploma/Certificate,Single,1 (Live alone),"Yes, above 18 years old","Yes, occasionally (few times a month)",PC/Laptop,"Casual/Party games (Mario Kart, Fall Guys, Among Us); Fighting games (Street Fighter, Mortal Kombat, Tekken); Simulation games (The Sims, Cities Skylines); Strategy games (League of Legends, Dota 2, StarCraft)",2-3 times per week,6-10 hours,At home,Never,Haven't visited,Friends (online); Organized teams/Clans,Achievement/Progression; Story and narrative; Stress relief/Relaxation,Very important,Once a week,"Board game cafes; Cinemas; Regular cafes (Starbucks, Costa, local cafes); Sports/Fitness centers",Afternoon (12 PM - 5 PM); Evening (5 PM - 9 PM); Late night (9 PM - 2 AM),2-3 hours,Slightly important,Mix of quick bites and proper meals,"Vegetarian Pizza; Pasta Arrabiata; Italian Coffee (Espresso, Cappuccino)",Peking Duck; Manchurian (Chicken/Vegetable); Sweet and Sour Chicken,Coffee (Hot/Iced); Tea (Regular/Specialty); Fresh juices,French fries; Cookies/Brownies; Chicken wings/tenders; Nuts/Trail mix; Popcorn,26-50 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",46-55 AED,91-110 AED,Not interested in membership,201-300 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,"Fast and stable internet connection; Private gaming rooms/VIP areas; Quality food and beverage options; Variety of gaming platforms (PC, PS5, Xbox, Switch); Comfortable seating and ergonomic setup","Yes, occasionally for special occasions","Corporate team-building events; VR gaming experiences; Tournament participation (cash prizes, trophies); Birthday party packages",Not at all likely,In a mall or entertainment complex; Ample parking availability; Near public transportation,Moderately interested - I would try it out and visit occasionally,The multi-generational concept appeals to me,2-3 times per month,Definitely yes,Combination of everything,Not enough variety in games,Better than gaming at home because of social aspect,None
35-44,Male,Expat (Working Professional),Dubai,Full-time employed,"10,001 - 20,000",Bachelor's degree,Married,5-6,No,"Yes, regularly (at least once a week)",PC/Laptop; PlayStation (PS4/PS5),"Board games (physical or digital); Sports games (FIFA, NBA 2K, F1); Strategy games (League of Legends, Dota 2, StarCraft); Battle Royale (Fortnite, PUBG, Apex Legends); Casual/Party games (Mario Kart, Fall Guys, Among Us)",4-6 times per week,11-15 hours,At a friend's place,6-10 times,51-100,Organized teams/Clans; Family members; Romantic partner,Escapism/Immersion; Stress relief/Relaxation; Entertainment/Fun,Very important,Multiple times per week,"Bowling alleys/Entertainment centers; Sports/Fitness centers; Restaurants; Board game cafes; Regular cafes (Starbucks, Costa, local cafes); Cinemas",Afternoon (12 PM - 5 PM),Half-day sessions,Moderately important,Quick-service counter with delivery to gaming stations,Pasta Carbonara; Risotto; Gelato; Pasta Bolognese,Dim Sum; Hakka Noodles; Spring Rolls,"Energy drinks (Red Bull, Monster); Smoothies; Bubble tea",Cookies/Brownies; Pretzels; Popcorn,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",36-45 AED,30-45 AED,501-700 AED,201-300 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Strategic location and accessibility; Affordable pricing; Fast and stable internet connection; Private gaming rooms/VIP areas","Yes, occasionally for special occasions",Ladies-only sessions; Birthday party packages; Corporate team-building events; Gaming leagues and ladders; Board game library,Very likely,Close to my home/workplace; Ample parking availability; Near public transportation,Moderately interested - I would try it out and visit occasionally,The multi-generational concept appeals to me,2-3 times per month,Maybe,High-end gaming equipment,Might be too crowded/noisy; Food quality might not justify the price,Better equipment than competitors,Partner with gaming brands
25-34,Male,Expat (Working Professional),Dubai,Student,"10,001 - 20,000",Bachelor's degree,Single,1 (Live alone),No,"Yes, occasionally (few times a month)",PlayStation (PS4/PS5); Mobile gaming,"Board games (physical or digital); Strategy games (League of Legends, Dota 2, StarCraft)",2-3 times per week,6-10 hours,At home,Never,Haven't visited,Friends (in-person); Strangers/Online community,Entertainment/Fun; Skill improvement; Competition and winning,Extremely important - gaming is mainly social for me,Once a week,Board game cafes; Shisha cafes; Malls/Shopping centers,Late night (9 PM - 2 AM); Weekends any time; Morning (8 AM - 12 PM),2-3 hours,Very important,Mix of quick bites and proper meals,"Panna Cotta; Meat Lovers Pizza; Tiramisu; Bruschetta; Lasagna; Vegetarian Pizza; Gelato; Pasta Alfredo; Italian Coffee (Espresso, Cappuccino)",Sweet and Sour Chicken; Peking Duck; Chow Mein; Wontons; Manchurian (Chicken/Vegetable); Kung Pao Chicken; Dumplings/Momos (Steamed/Fried); Fried Rice (Chicken/Beef/Vegetable/Shrimp),"Milkshakes; Energy drinks (Red Bull, Monster); Bubble tea",Pretzels; Sandwiches/Wraps; Fresh fruit,26-50 AED,Monthly membership (unlimited access),26-35 AED,46-60 AED,300-500 AED,50-100 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,Private gaming rooms/VIP areas; Tournament hosting and events; Streaming/Content creation facilities; Affordable pricing; Extended operating hours (24/7 or late night),"Yes, occasionally for special occasions",Ladies-only sessions; Retro arcade section; Birthday party packages,Not at all likely,Ample parking availability; Close to my home/workplace; Near public transportation,Very interested - I would likely visit frequently,Premium equipment is exactly what I'm looking for,2-3 times per month,Definitely yes,Quality food and dining experience,Food quality might not justify the price; Concerns about cleanliness/hygiene,Better pricing and value,Comfortable seating is a must
35-44,Female,Tourist/Visitor,Dubai,Full-time employed,"10,001 - 20,000",Doctoral degree,Married with children,5-6,"Yes, 12-18 years old","Yes, regularly (at least once a week)",Mobile gaming; PC/Laptop; PlayStation (PS4/PS5); Xbox (One/Series X/S),"RPG/Adventure (Elden Ring, Zelda, Final Fantasy); First-person shooters (Call of Duty, Valorant, CS:GO); Fighting games (Street Fighter, Mortal Kombat, Tekken); Racing games (Gran Turismo, Forza)",4-6 times per week,6-10 hours,Multiple locations,Once,51-100,Strangers/Online community; Friends (online); Romantic partner; Alone,Story and narrative; Competition and winning; Escapism/Immersion,Extremely important - gaming is mainly social for me,Multiple times per week,Shisha cafes; Board game cafes; Cinemas; Malls/Shopping centers; Gaming cafes/lounges,Evening (5 PM - 9 PM); Late night (9 PM - 2 AM),4+ hours,Moderately important,Mix of quick bites and proper meals,"Pasta Alfredo; Pasta Arrabiata; Lasagna; Pasta Bolognese; Italian Coffee (Espresso, Cappuccino)",Noodle Soup; Hakka Noodles; Dim Sum; Stir-fried Vegetables; Kung Pao Chicken; Spring Rolls,"Coffee (Hot/Iced); Energy drinks (Red Bull, Monster); Soft drinks (Coca-Cola, Pepsi, Sprite); Sports drinks (Gatorade, Powerade)",Popcorn; Chips/Crisps; Nachos with dips; Candy/Chocolate; French fries; Pretzels,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,61-75 AED,501-700 AED,151-200 AED,Very price sensitive - I look for best deals and discounts,Probably yes,"High-end gaming hardware (latest GPUs, processors); Social atmosphere and community; Variety of gaming platforms (PC, PS5, Xbox, Switch); Knowledgeable and helpful staff; Quality food and beverage options","Yes, definitely - I'd use this regularly",Retro arcade section; Birthday party packages; Ladies-only sessions; Gaming leagues and ladders,Not very likely,Near public transportation; Safe neighborhood; Ample parking availability,Very interested - I would likely visit frequently,The multi-generational concept appeals to me,Once a week,Definitely yes,High-end gaming equipment,Not enough variety in games,Convenient location,Good parking availability needed
